Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738928,MH_17,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.003,0.00296,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738937,MH_17,COUNTRY,ALB,YEAR,2016,,,,,,,,,0.068,0.06841,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738944,MH_17,COUNTRY,DZA,YEAR,2016,,,,,,,,,0.048,0.04765,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738953,MH_17,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.011,0.01077,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738961,MH_17,COUNTRY,ATG,YEAR,2016,,,,,,,,,1.001,1.00077,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738965,MH_17,COUNTRY,ARG,YEAR,2016,,,,,,,,,0.937,0.9374,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738982,MH_17,COUNTRY,AUS,YEAR,2015,,,,,,,,,0.071,0.07143,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738989,MH_17,COUNTRY,AUT,YEAR,2015,,,,,,,,,0.092,0.09218,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739001,MH_17,COUNTRY,AZE,YEAR,2016,,,,,,,,,0.114,0.11438,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739009,MH_17,COUNTRY,BHS,YEAR,2015,,,,,,,,,0.259,0.25851,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739019,MH_17,COUNTRY,BHR,YEAR,2017,,,,,,,,,0.146,0.14579,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739028,MH_17,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.001,0.00124,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739036,MH_17,COUNTRY,BRB,YEAR,2015,,,,,,,,,0.352,0.35184,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739045,MH_17,COUNTRY,BLR,YEAR,2016,,,,,,,,,0.200,0.2003,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739055,MH_17,COUNTRY,BEL,YEAR,2013,,,,,,,,,0.470,0.46953,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739076,MH_17,COUNTRY,BOL,YEAR,2016,,,,,,,,,0.075,0.07459,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739083,MH_17,COUNTRY,BIH,YEAR,2015,,,,,,,,,0.085,0.08484,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
20739088,MH_17,COUNTRY,BWA,YEAR,2017,,,,,,,,,0.091,0.09053,,,,2019-04-25T15:32:01Z,2017,2017-01-01,2017-12-31
20739098,MH_17,COUNTRY,BRA,YEAR,2016,,,,,,,,,0.069,0.06943,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739120,MH_17,COUNTRY,BGR,YEAR,2016,,,,,,,,,0.167,0.16719,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739139,MH_17,COUNTRY,BDI,YEAR,2017,,,,,,,,,0.010,0.0098,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739153,MH_17,COUNTRY,CAN,YEAR,2017,,,,,,,,,0.057,0.0569,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739173,MH_17,COUNTRY,CHL,YEAR,2016,,,,,,,,,0.023,0.02252,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739183,MH_17,COUNTRY,CHN,YEAR,2015,,,,,,,,,0.068,0.06793,,,,2019-04-25T15:32:03Z,2015,2015-01-01,2015-12-31
20739187,MH_17,COUNTRY,COL,YEAR,2016,,,,,,,,,1.988,1.98844,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739215,MH_17,COUNTRY,CRI,YEAR,2016,,,,,,,,,0.042,0.0416,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739225,MH_17,COUNTRY,CIV,YEAR,2016,,,,,,,,,0.009,0.00865,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739234,MH_17,COUNTRY,HRV,YEAR,2016,,,,,,,,,0.165,0.16525,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739244,MH_17,COUNTRY,CUB,YEAR,2016,,,,,,,,,0.166,0.16577,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739253,MH_17,COUNTRY,CYP,YEAR,2015,,,,,,,,,0.086,0.08613,,,,2019-04-25T15:32:04Z,2015,2015-01-01,2015-12-31
20739263,MH_17,COUNTRY,CZE,YEAR,2015,,,,,,,,,0.170,0.16975,,,,2019-04-25T15:32:05Z,2015,2015-01-01,2015-12-31
20739281,MH_17,COUNTRY,ECU,YEAR,2016,,,,,,,,,0.025,0.02478,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739290,MH_17,COUNTRY,EGY,YEAR,2016,,,,,,,,,0.019,0.01919,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739298,MH_17,COUNTRY,SLV,YEAR,2016,,,,,,,,,0.032,0.03168,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739307,MH_17,COUNTRY,GNQ,YEAR,2017,,,,,,,,,0.085,0.08508,,,,2019-04-25T15:32:05Z,2017,2017-01-01,2017-12-31
20739313,MH_17,COUNTRY,ERI,YEAR,2016,,,,,,,,,0.021,0.02063,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739322,MH_17,COUNTRY,EST,YEAR,2016,,,,,,,,,0.152,0.152,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739334,MH_17,COUNTRY,ETH,YEAR,2017,,,,,,,,,0.002,0.002,,,,2019-04-25T15:32:06Z,2017,2017-01-01,2017-12-31
20739342,MH_17,COUNTRY,FJI,YEAR,2016,,,,,,,,,0.112,0.11209,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739367,MH_17,COUNTRY,GAB,YEAR,2016,,,,,,,,,0.052,0.05181,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739376,MH_17,COUNTRY,GEO,YEAR,2016,,,,,,,,,0.228,0.22776,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739384,MH_17,COUNTRY,DEU,YEAR,2015,,,,,,,,,0.335,0.33534,,,,2019-04-25T15:32:07Z,2015,2015-01-01,2015-12-31
20739394,MH_17,COUNTRY,GHA,YEAR,2016,,,,,,,,,0.011,0.01088,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739406,MH_17,COUNTRY,GRC,YEAR,2016,,,,,,,,,0.027,0.02674,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739417,MH_17,COUNTRY,GRD,YEAR,2016,,,,,,,,,0.936,0.93613,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739426,MH_17,COUNTRY,GTM,YEAR,2016,,,,,,,,,0.006,0.00615,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739441,MH_17,COUNTRY,GNB,YEAR,2016,,,,,,,,,0.056,0.05648,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739446,MH_17,COUNTRY,GUY,YEAR,2016,,,,,,,,,0.130,0.13012,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739455,MH_17,COUNTRY,HTI,YEAR,2016,,,,,,,,,0.019,0.01867,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739463,MH_17,COUNTRY,HND,YEAR,2014,,,,,,,,,0.022,0.02232,,,,2019-04-25T15:32:08Z,2014,2014-01-01,2014-12-31
20739476,MH_17,COUNTRY,ISL,YEAR,2016,,,,,,,,,0.303,0.30281,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739485,MH_17,COUNTRY,IND,YEAR,2016,,,,,,,,,0.010,0.01039,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739496,MH_17,COUNTRY,IDN,YEAR,2016,,,,,,,,,0.019,0.01859,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739502,MH_17,COUNTRY,IRN,YEAR,2017,,,,,,,,,0.049,0.04914,,,,2019-04-25T15:32:09Z,2017,2017-01-01,2017-12-31
20739514,MH_17,COUNTRY,IRQ,YEAR,2017,,,,,,,,,0.006,0.00554,,,,2019-04-25T15:32:09Z,2017,2017-01-01,2017-12-31
20739520,MH_17,COUNTRY,IRL,YEAR,2016,,,,,,,,,0.617,0.61701,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739529,MH_17,COUNTRY,ISR,YEAR,2016,,,,,,,,,0.161,0.1612,,,,2019-04-25T15:32:10Z,2016,2016-01-01,2016-12-31
20739549,MH_17,COUNTRY,JAM,YEAR,2015,,,,,,,,,0.035,0.03482,,,,2019-04-25T15:32:10Z,2015,2015-01-01,2015-12-31
20739560,MH_17,COUNTRY,JPN,YEAR,2016,,,,,,,,,8.314,8.31413,,,,2019-04-25T15:32:10Z,2016,2016-01-01,2016-12-31
20739571,MH_17,COUNTRY,JOR,YEAR,2016,,,,,,,,,0.055,0.05459,,,,2019-04-25T15:32:10Z,2016,2016-01-01,2016-12-31
20739577,MH_17,COUNTRY,KEN,YEAR,2016,,,,,,,,,0.002,0.00212,,,,2019-04-25T15:32:11Z,2016,2016-01-01,2016-12-31
20739584,MH_17,COUNTRY,KIR,YEAR,2015,,,,,,,,,0.890,0.88962,,,,2019-04-25T15:32:11Z,2015,2015-01-01,2015-12-31
20739591,MH_17,COUNTRY,KOR,YEAR,2016,,,,,,,,,0.358,0.35775,,,,2019-04-25T15:32:11Z,2016,2016-01-01,2016-12-31
20739602,MH_17,COUNTRY,KGZ,YEAR,2016,,,,,,,,,0.085,0.08525,,,,2019-04-25T15:32:11Z,2016,2016-01-01,2016-12-31
20739610,MH_17,COUNTRY,LVA,YEAR,2015,,,,,,,,,0.301,0.3011,,,,2019-04-25T15:32:11Z,2015,2015-01-01,2015-12-31
20739619,MH_17,COUNTRY,LBN,YEAR,2015,,,,,,,,,0.085,0.08545,,,,2019-04-25T15:32:11Z,2015,2015-01-01,2015-12-31
20739630,MH_17,COUNTRY,LBR,YEAR,2016,,,,,,,,,0.022,0.02222,,,,2019-04-25T15:32:12Z,2016,2016-01-01,2016-12-31
20739636,MH_17,COUNTRY,LBY,YEAR,2016,,,,,,,,,0.032,0.03208,,,,2019-04-25T15:32:12Z,2016,2016-01-01,2016-12-31
20739640,MH_17,COUNTRY,LTU,YEAR,2016,,,,,,,,,0.136,0.13643,,,,2019-04-25T15:32:12Z,2016,2016-01-01,2016-12-31
20739646,MH_17,COUNTRY,LUX,YEAR,2015,,,,,,,,,0.176,0.17645,,,,2019-04-25T15:32:12Z,2015,2015-01-01,2015-12-31
20739657,MH_17,COUNTRY,MKD,YEAR,2017,,,,,,,,,0.144,0.14428,,,,2019-04-25T15:32:12Z,2017,2017-01-01,2017-12-31
20739666,MH_17,COUNTRY,MDG,YEAR,2016,,,,,,,,,0.021,0.02063,,,,2019-04-25T15:32:12Z,2016,2016-01-01,2016-12-31
20739676,MH_17,COUNTRY,MYS,YEAR,2016,,,,,,,,,0.013,0.01302,,,,2019-04-25T15:32:13Z,2016,2016-01-01,2016-12-31
