Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738932,MH_10,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.006,0.00593,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738943,MH_10,COUNTRY,ALB,YEAR,2016,,,,,,,,,0.410,0.41049,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738948,MH_10,COUNTRY,DZA,YEAR,2016,,,,,,,,,0.048,0.04765,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738970,MH_10,COUNTRY,ARG,YEAR,2016,,,,,,,,,1.720,1.72049,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738977,MH_10,COUNTRY,ARM,YEAR,2016,,,,,,,,,1.371,1.3713,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738995,MH_10,COUNTRY,AUT,YEAR,2015,,,,,,,,,3.457,3.45676,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739007,MH_10,COUNTRY,AZE,YEAR,2016,,,,,,,,,0.156,0.15597,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739013,MH_10,COUNTRY,BHS,YEAR,2015,,,,,,,,,0.517,0.51701,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739023,MH_10,COUNTRY,BHR,YEAR,2017,,,,,,,,,1.239,1.2392,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739034,MH_10,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.055,0.05521,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
