Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738936,MH_8,COUNTRY,ALB,YEAR,2016,,,,,,,,,1.060,1.06043,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738952,MH_8,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.022,0.02154,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738960,MH_8,COUNTRY,ATG,YEAR,2016,,,,,,,,,4.003,4.00308,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738974,MH_8,COUNTRY,ARM,YEAR,2016,,,,,,,,,0.274,0.27426,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20739000,MH_8,COUNTRY,AZE,YEAR,2016,,,,,,,,,0.114,0.11438,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739018,MH_8,COUNTRY,BHR,YEAR,2017,,,,,,,,,1.458,1.45788,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739054,MH_8,COUNTRY,BEL,YEAR,2013,,,,,,,,,17.435,17.43454,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739082,MH_8,COUNTRY,BIH,YEAR,2015,,,,,,,,,0.594,0.5939,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
20739097,MH_8,COUNTRY,BRA,YEAR,2016,,,,,,,,,6.608,6.60753,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739108,MH_8,COUNTRY,BRN,YEAR,2016,,,,,,,,,0.239,0.2395,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739119,MH_8,COUNTRY,BGR,YEAR,2016,,,,,,,,,0.780,0.78023,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739131,MH_8,COUNTRY,BFA,YEAR,2016,,,,,,,,,0.011,0.01104,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739138,MH_8,COUNTRY,BDI,YEAR,2017,,,,,,,,,0.069,0.06863,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739152,MH_8,COUNTRY,CAN,YEAR,2017,,,,,,,,,145.400,145.4,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739162,MH_8,COUNTRY,CAF,YEAR,2017,,,,,,,,,0.022,0.022,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739167,MH_8,COUNTRY,TCD,YEAR,2016,,,,,,,,,0.007,0.00714,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739199,MH_8,COUNTRY,COG,YEAR,2016,,,,,,,,,0.020,0.02002,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739206,MH_8,COUNTRY,COK,YEAR,2016,,,,,,,,,17.193,17.19296,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
