Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738926,MH_9,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.296,0.29641,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738934,MH_9,COUNTRY,ALB,YEAR,2016,,,,,,,,,1.231,1.23146,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738950,MH_9,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.179,0.17947,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738964,MH_9,COUNTRY,ARG,YEAR,2016,,,,,,,,,222.572,222.57249,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738972,MH_9,COUNTRY,ARM,YEAR,2016,,,,,,,,,0.788,0.78849,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738980,MH_9,COUNTRY,AUS,YEAR,2015,,,,,,,,,103.036,103.03554,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738998,MH_9,COUNTRY,AZE,YEAR,2016,,,,,,,,,1.165,1.16455,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739016,MH_9,COUNTRY,BHR,YEAR,2017,,,,,,,,,1.239,1.2392,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739026,MH_9,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.124,0.12407,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739044,MH_9,COUNTRY,BLR,YEAR,2016,,,,,,,,,5.514,5.51352,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739052,MH_9,COUNTRY,BEL,YEAR,2013,,,,,,,,,10.462,10.46249,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739062,MH_9,COUNTRY,BLZ,YEAR,2016,,,,,,,,,1.113,1.11331,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739080,MH_9,COUNTRY,BIH,YEAR,2015,,,,,,,,,1.527,1.52717,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
20739095,MH_9,COUNTRY,BRA,YEAR,2016,,,,,,,,,12.368,12.36781,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739106,MH_9,COUNTRY,BRN,YEAR,2016,,,,,,,,,5.029,5.02943,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739117,MH_9,COUNTRY,BGR,YEAR,2016,,,,,,,,,1.867,1.86697,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739129,MH_9,COUNTRY,BFA,YEAR,2016,,,,,,,,,0.022,0.02209,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739136,MH_9,COUNTRY,BDI,YEAR,2017,,,,,,,,,0.490,0.49023,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739144,MH_9,COUNTRY,KHM,YEAR,2016,,,,,,,,,7.089,7.08871,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739150,MH_9,COUNTRY,CAN,YEAR,2017,,,,,,,,,48.740,48.74014,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739192,MH_9,COUNTRY,COM,YEAR,2017,,,,,,,,,0.643,0.64315,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739197,MH_9,COUNTRY,COG,YEAR,2016,,,,,,,,,0.020,0.02002,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739204,MH_9,COUNTRY,COK,YEAR,2016,,,,,,,,,11.462,11.46197,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739212,MH_9,COUNTRY,CRI,YEAR,2016,,,,,,,,,142.018,142.01768,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739231,MH_9,COUNTRY,HRV,YEAR,2016,,,,,,,,,4.367,4.36733,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739241,MH_9,COUNTRY,CUB,YEAR,2016,,,,,,,,,31.061,31.06069,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
