Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738925,MH_6,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.231,0.2312,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738933,MH_6,COUNTRY,ALB,YEAR,2016,,,,,,,,,1.471,1.47091,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738949,MH_6,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.057,0.05743,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738958,MH_6,COUNTRY,ATG,YEAR,2016,,,,,,,,,1.001,1.00077,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738963,MH_6,COUNTRY,ARG,YEAR,2016,,,,,,,,,21.705,21.7054,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738971,MH_6,COUNTRY,ARM,YEAR,2016,,,,,,,,,3.840,3.83963,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738979,MH_6,COUNTRY,AUS,YEAR,2015,,,,,,,,,13.525,13.52546,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738997,MH_6,COUNTRY,AZE,YEAR,2016,,,,,,,,,3.452,3.45205,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739015,MH_6,COUNTRY,BHR,YEAR,2017,,,,,,,,,5.467,5.46705,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739025,MH_6,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.130,0.13027,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739043,MH_6,COUNTRY,BLR,YEAR,2016,,,,,,,,,13.504,13.50444,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739051,MH_6,COUNTRY,BEL,YEAR,2013,,,,,,,,,20.057,20.0568,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739061,MH_6,COUNTRY,BLZ,YEAR,2016,,,,,,,,,1.392,1.39164,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739070,MH_6,COUNTRY,BTN,YEAR,2016,,,,,,,,,0.508,0.50801,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739075,MH_6,COUNTRY,BOL,YEAR,2016,,,,,,,,,1.128,1.12824,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739079,MH_6,COUNTRY,BIH,YEAR,2015,,,,,,,,,8.032,8.03176,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
20739094,MH_6,COUNTRY,BRA,YEAR,2016,,,,,,,,,3.165,3.16466,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739105,MH_6,COUNTRY,BRN,YEAR,2016,,,,,,,,,1.197,1.19748,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739116,MH_6,COUNTRY,BGR,YEAR,2016,,,,,,,,,7.203,7.20317,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739128,MH_6,COUNTRY,BFA,YEAR,2016,,,,,,,,,0.039,0.03865,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739135,MH_6,COUNTRY,BDI,YEAR,2017,,,,,,,,,0.010,0.0098,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739143,MH_6,COUNTRY,KHM,YEAR,2016,,,,,,,,,0.387,0.38666,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739149,MH_6,COUNTRY,CAN,YEAR,2017,,,,,,,,,14.679,14.67922,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739160,MH_6,COUNTRY,CAF,YEAR,2017,,,,,,,,,0.022,0.022,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739165,MH_6,COUNTRY,TCD,YEAR,2016,,,,,,,,,0.007,0.00714,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739171,MH_6,COUNTRY,CHL,YEAR,2016,,,,,,,,,6.970,6.96967,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739181,MH_6,COUNTRY,CHN,YEAR,2015,,,,,,,,,2.199,2.1991,,,,2019-04-25T15:32:03Z,2015,2015-01-01,2015-12-31
20739185,MH_6,COUNTRY,COL,YEAR,2016,,,,,,,,,1.835,1.83501,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739191,MH_6,COUNTRY,COM,YEAR,2017,,,,,,,,,0.129,0.12863,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739196,MH_6,COUNTRY,COG,YEAR,2016,,,,,,,,,0.080,0.08007,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739203,MH_6,COUNTRY,COK,YEAR,2016,,,,,,,,,5.731,5.73099,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739211,MH_6,COUNTRY,CRI,YEAR,2016,,,,,,,,,3.931,3.93107,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739223,MH_6,COUNTRY,CIV,YEAR,2016,,,,,,,,,0.130,0.12982,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739230,MH_6,COUNTRY,HRV,YEAR,2016,,,,,,,,,11.095,11.09537,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739240,MH_6,COUNTRY,CUB,YEAR,2016,,,,,,,,,9.056,9.05646,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739259,MH_6,COUNTRY,CZE,YEAR,2015,,,,,,,,,12.364,12.36354,,,,2019-04-25T15:32:04Z,2015,2015-01-01,2015-12-31
20739270,MH_6,COUNTRY,DOM,YEAR,2016,,,,,,,,,2.280,2.27955,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739277,MH_6,COUNTRY,ECU,YEAR,2016,,,,,,,,,0.458,0.45836,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739286,MH_6,COUNTRY,EGY,YEAR,2016,,,,,,,,,1.600,1.59952,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739295,MH_6,COUNTRY,SLV,YEAR,2016,,,,,,,,,0.887,0.88713,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739303,MH_6,COUNTRY,GNQ,YEAR,2017,,,,,,,,,0.681,0.68063,,,,2019-04-25T15:32:05Z,2017,2017-01-01,2017-12-31
20739318,MH_6,COUNTRY,EST,YEAR,2016,,,,,,,,,16.188,16.18799,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739330,MH_6,COUNTRY,ETH,YEAR,2017,,,,,,,,,0.076,0.0761,,,,2019-04-25T15:32:06Z,2017,2017-01-01,2017-12-31
20739338,MH_6,COUNTRY,FJI,YEAR,2016,,,,,,,,,0.224,0.22418,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739348,MH_6,COUNTRY,FIN,YEAR,2017,,,,,,,,,23.586,23.58643,,,,2019-04-25T15:32:06Z,2017,2017-01-01,2017-12-31
20739357,MH_6,COUNTRY,FRA,YEAR,2017,,,,,,,,,20.907,20.9069,,,,2019-04-25T15:32:06Z,2017,2017-01-01,2017-12-31
20739363,MH_6,COUNTRY,GAB,YEAR,2016,,,,,,,,,0.259,0.25904,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739370,MH_6,COUNTRY,GMB,YEAR,2016,,,,,,,,,0.101,0.10113,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739373,MH_6,COUNTRY,GEO,YEAR,2016,,,,,,,,,6.706,6.70627,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739382,MH_6,COUNTRY,DEU,YEAR,2015,,,,,,,,,13.202,13.20192,,,,2019-04-25T15:32:07Z,2015,2015-01-01,2015-12-31
20739391,MH_6,COUNTRY,GHA,YEAR,2016,,,,,,,,,0.058,0.05801,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739402,MH_6,COUNTRY,GRC,YEAR,2016,,,,,,,,,5.803,5.80328,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739414,MH_6,COUNTRY,GRD,YEAR,2016,,,,,,,,,1.872,1.87226,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739422,MH_6,COUNTRY,GTM,YEAR,2016,,,,,,,,,0.492,0.49223,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739433,MH_6,COUNTRY,GIN,YEAR,2016,,,,,,,,,0.025,0.02481,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739444,MH_6,COUNTRY,GUY,YEAR,2016,,,,,,,,,0.911,0.91085,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739451,MH_6,COUNTRY,HTI,YEAR,2016,,,,,,,,,0.075,0.07469,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739460,MH_6,COUNTRY,HND,YEAR,2014,,,,,,,,,0.658,0.65842,,,,2019-04-25T15:32:08Z,2014,2014-01-01,2014-12-31
20739468,MH_6,COUNTRY,HUN,YEAR,2016,,,,,,,,,11.079,11.0794,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739481,MH_6,COUNTRY,IND,YEAR,2016,,,,,,,,,0.292,0.29235,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739493,MH_6,COUNTRY,IDN,YEAR,2016,,,,,,,,,0.310,0.30988,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739498,MH_6,COUNTRY,IRN,YEAR,2017,,,,,,,,,2.016,2.01612,,,,2019-04-25T15:32:09Z,2017,2017-01-01,2017-12-31
20739510,MH_6,COUNTRY,IRQ,YEAR,2017,,,,,,,,,0.343,0.34334,,,,2019-04-25T15:32:09Z,2017,2017-01-01,2017-12-31
20739527,MH_6,COUNTRY,ISR,YEAR,2016,,,,,,,,,9.870,9.87036,,,,2019-04-25T15:32:10Z,2016,2016-01-01,2016-12-31
