Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738942,MH_15,COUNTRY,ALB,YEAR,2016,,,,,,,,,4.584,4.58378,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738957,MH_15,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.337,0.33741,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738987,MH_15,COUNTRY,AUS,YEAR,2015,,,,,,,,,10.383,10.38255,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738994,MH_15,COUNTRY,AUT,YEAR,2015,,,,,,,,,59.664,59.66361,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739006,MH_15,COUNTRY,AZE,YEAR,2016,,,,,,,,,2.911,2.91136,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739022,MH_15,COUNTRY,BHR,YEAR,2017,,,,,,,,,1.093,1.09341,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739033,MH_15,COUNTRY,BGD,YEAR,2016,,,,,,,,,2.236,2.23572,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739041,MH_15,COUNTRY,BRB,YEAR,2015,,,,,,,,,17.592,17.59219,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739060,MH_15,COUNTRY,BEL,YEAR,2013,,,,,,,,,65.362,65.36179,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739067,MH_15,COUNTRY,BLZ,YEAR,2016,,,,,,,,,11.690,11.68979,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739103,MH_15,COUNTRY,BRA,YEAR,2016,,,,,,,,,1.967,1.96735,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739113,MH_15,COUNTRY,BRN,YEAR,2016,,,,,,,,,2.874,2.87396,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739125,MH_15,COUNTRY,BGR,YEAR,2016,,,,,,,,,13.933,13.93263,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
