Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738927,MH_7,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.098,0.09782,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738935,MH_7,COUNTRY,ALB,YEAR,2016,,,,,,,,,6.876,6.87567,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738951,MH_7,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.660,0.66046,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738959,MH_7,COUNTRY,ATG,YEAR,2016,,,,,,,,,7.005,7.00539,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738973,MH_7,COUNTRY,ARM,YEAR,2016,,,,,,,,,11.245,11.24462,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738981,MH_7,COUNTRY,AUS,YEAR,2015,,,,,,,,,90.582,90.58152,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738999,MH_7,COUNTRY,AZE,YEAR,2016,,,,,,,,,6.717,6.71693,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739017,MH_7,COUNTRY,BHR,YEAR,2017,,,,,,,,,27.918,27.9184,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739027,MH_7,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.873,0.87282,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739035,MH_7,COUNTRY,BRB,YEAR,2015,,,,,,,,,63.332,63.33189,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739053,MH_7,COUNTRY,BEL,YEAR,2013,,,,,,,,,125.692,125.69167,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739063,MH_7,COUNTRY,BLZ,YEAR,2016,,,,,,,,,3.340,3.33994,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739071,MH_7,COUNTRY,BTN,YEAR,2016,,,,,,,,,0.127,0.127,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739081,MH_7,COUNTRY,BIH,YEAR,2015,,,,,,,,,22.144,22.14391,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
20739096,MH_7,COUNTRY,BRA,YEAR,2016,,,,,,,,,34.948,34.94769,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739107,MH_7,COUNTRY,BRN,YEAR,2016,,,,,,,,,15.088,15.0883,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739118,MH_7,COUNTRY,BGR,YEAR,2016,,,,,,,,,17.736,17.73624,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739130,MH_7,COUNTRY,BFA,YEAR,2016,,,,,,,,,0.635,0.63499,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739137,MH_7,COUNTRY,BDI,YEAR,2017,,,,,,,,,0.049,0.04902,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739145,MH_7,COUNTRY,KHM,YEAR,2016,,,,,,,,,0.277,0.2771,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739151,MH_7,COUNTRY,CAN,YEAR,2017,,,,,,,,,68.659,68.6595,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739161,MH_7,COUNTRY,CAF,YEAR,2017,,,,,,,,,0.022,0.022,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739166,MH_7,COUNTRY,TCD,YEAR,2016,,,,,,,,,0.021,0.02141,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
