Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738930,MH_18,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.012,0.01186,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738939,MH_18,COUNTRY,ALB,YEAR,2016,,,,,,,,,0.068,0.06841,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738946,MH_18,COUNTRY,DZA,YEAR,2016,,,,,,,,,0.068,0.06772,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738967,MH_18,COUNTRY,ARG,YEAR,2016,,,,,,,,,1.071,1.07099,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738975,MH_18,COUNTRY,ARM,YEAR,2016,,,,,,,,,0.069,0.06856,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738984,MH_18,COUNTRY,AUS,YEAR,2015,,,,,,,,,0.601,0.60085,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738991,MH_18,COUNTRY,AUT,YEAR,2015,,,,,,,,,0.265,0.26502,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739003,MH_18,COUNTRY,AZE,YEAR,2016,,,,,,,,,0.021,0.0208,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739011,MH_18,COUNTRY,BHS,YEAR,2015,,,,,,,,,0.259,0.25851,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739030,MH_18,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.035,0.03474,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739038,MH_18,COUNTRY,BRB,YEAR,2015,,,,,,,,,0.352,0.35184,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739047,MH_18,COUNTRY,BLR,YEAR,2016,,,,,,,,,0.063,0.06325,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739057,MH_18,COUNTRY,BEL,YEAR,2013,,,,,,,,,0.558,0.55812,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739064,MH_18,COUNTRY,BLZ,YEAR,2016,,,,,,,,,1.948,1.9483,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739072,MH_18,COUNTRY,BTN,YEAR,2016,,,,,,,,,0.127,0.127,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739077,MH_18,COUNTRY,BOL,YEAR,2016,,,,,,,,,0.009,0.00932,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739085,MH_18,COUNTRY,BIH,YEAR,2015,,,,,,,,,0.537,0.53734,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
20739090,MH_18,COUNTRY,BWA,YEAR,2017,,,,,,,,,0.226,0.22633,,,,2019-04-25T15:32:01Z,2017,2017-01-01,2017-12-31
20739100,MH_18,COUNTRY,BRA,YEAR,2016,,,,,,,,,0.115,0.11458,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739110,MH_18,COUNTRY,BRN,YEAR,2016,,,,,,,,,0.479,0.47899,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739122,MH_18,COUNTRY,BGR,YEAR,2016,,,,,,,,,0.307,0.30652,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739133,MH_18,COUNTRY,BFA,YEAR,2016,,,,,,,,,0.287,0.28712,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739146,MH_18,COUNTRY,KHM,YEAR,2016,,,,,,,,,0.006,0.00644,,,,2019-04-25T15:32:02Z,2016,2016-01-01,2016-12-31
20739155,MH_18,COUNTRY,CAN,YEAR,2017,,,,,,,,,0.401,0.40112,,,,2019-04-25T15:32:02Z,2017,2017-01-01,2017-12-31
20739158,MH_18,COUNTRY,CPV,YEAR,2017,,,,,,,,,0.563,0.56294,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739163,MH_18,COUNTRY,CAF,YEAR,2017,,,,,,,,,0.022,0.022,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739168,MH_18,COUNTRY,TCD,YEAR,2016,,,,,,,,,0.007,0.00714,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739175,MH_18,COUNTRY,CHL,YEAR,2016,,,,,,,,,0.175,0.17452,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739188,MH_18,COUNTRY,COL,YEAR,2016,,,,,,,,,0.222,0.22186,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739194,MH_18,COUNTRY,COM,YEAR,2017,,,,,,,,,0.129,0.12863,,,,2019-04-25T15:32:03Z,2017,2017-01-01,2017-12-31
20739200,MH_18,COUNTRY,COG,YEAR,2016,,,,,,,,,0.040,0.04003,,,,2019-04-25T15:32:03Z,2016,2016-01-01,2016-12-31
20739217,MH_18,COUNTRY,CRI,YEAR,2016,,,,,,,,,0.042,0.0416,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739226,MH_18,COUNTRY,CIV,YEAR,2016,,,,,,,,,0.013,0.01298,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739236,MH_18,COUNTRY,HRV,YEAR,2016,,,,,,,,,0.519,0.51936,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739246,MH_18,COUNTRY,CUB,YEAR,2016,,,,,,,,,0.148,0.14832,,,,2019-04-25T15:32:04Z,2016,2016-01-01,2016-12-31
20739255,MH_18,COUNTRY,CYP,YEAR,2015,,,,,,,,,0.172,0.17227,,,,2019-04-25T15:32:04Z,2015,2015-01-01,2015-12-31
20739265,MH_18,COUNTRY,CZE,YEAR,2015,,,,,,,,,0.283,0.28292,,,,2019-04-25T15:32:05Z,2015,2015-01-01,2015-12-31
20739273,MH_18,COUNTRY,DOM,YEAR,2016,,,,,,,,,0.076,0.07598,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739283,MH_18,COUNTRY,ECU,YEAR,2016,,,,,,,,,0.173,0.17344,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739300,MH_18,COUNTRY,SLV,YEAR,2016,,,,,,,,,0.253,0.25347,,,,2019-04-25T15:32:05Z,2016,2016-01-01,2016-12-31
20739315,MH_18,COUNTRY,ERI,YEAR,2016,,,,,,,,,0.206,0.20631,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739324,MH_18,COUNTRY,EST,YEAR,2016,,,,,,,,,0.684,0.684,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739336,MH_18,COUNTRY,ETH,YEAR,2017,,,,,,,,,0.052,0.05207,,,,2019-04-25T15:32:06Z,2017,2017-01-01,2017-12-31
20739344,MH_18,COUNTRY,FJI,YEAR,2016,,,,,,,,,0.336,0.33627,,,,2019-04-25T15:32:06Z,2016,2016-01-01,2016-12-31
20739352,MH_18,COUNTRY,FIN,YEAR,2017,,,,,,,,,0.748,0.74791,,,,2019-04-25T15:32:06Z,2017,2017-01-01,2017-12-31
20739378,MH_18,COUNTRY,GEO,YEAR,2016,,,,,,,,,0.076,0.07592,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739386,MH_18,COUNTRY,DEU,YEAR,2015,,,,,,,,,0.491,0.49077,,,,2019-04-25T15:32:07Z,2015,2015-01-01,2015-12-31
20739396,MH_18,COUNTRY,GHA,YEAR,2016,,,,,,,,,1.095,1.09488,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739408,MH_18,COUNTRY,GRC,YEAR,2016,,,,,,,,,0.330,0.32983,,,,2019-04-25T15:32:07Z,2016,2016-01-01,2016-12-31
20739419,MH_18,COUNTRY,GRD,YEAR,2016,,,,,,,,,0.936,0.93613,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739428,MH_18,COUNTRY,GTM,YEAR,2016,,,,,,,,,0.006,0.00615,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739436,MH_18,COUNTRY,GIN,YEAR,2016,,,,,,,,,0.008,0.00827,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739448,MH_18,COUNTRY,GUY,YEAR,2016,,,,,,,,,0.130,0.13012,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739457,MH_18,COUNTRY,HTI,YEAR,2016,,,,,,,,,0.009,0.00934,,,,2019-04-25T15:32:08Z,2016,2016-01-01,2016-12-31
20739471,MH_18,COUNTRY,HUN,YEAR,2016,,,,,,,,,2.647,2.6472,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739478,MH_18,COUNTRY,ISL,YEAR,2016,,,,,,,,,4.542,4.54211,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739487,MH_18,COUNTRY,IND,YEAR,2016,,,,,,,,,0.030,0.02972,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739497,MH_18,COUNTRY,IDN,YEAR,2016,,,,,,,,,0.104,0.1042,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739504,MH_18,COUNTRY,IRN,YEAR,2017,,,,,,,,,0.200,0.20035,,,,2019-04-25T15:32:09Z,2017,2017-01-01,2017-12-31
20739516,MH_18,COUNTRY,IRQ,YEAR,2017,,,,,,,,,0.061,0.06092,,,,2019-04-25T15:32:09Z,2017,2017-01-01,2017-12-31
20739522,MH_18,COUNTRY,IRL,YEAR,2016,,,,,,,,,0.617,0.61701,,,,2019-04-25T15:32:09Z,2016,2016-01-01,2016-12-31
20739531,MH_18,COUNTRY,ISR,YEAR,2016,,,,,,,,,0.136,0.1364,,,,2019-04-25T15:32:10Z,2016,2016-01-01,2016-12-31
20739539,MH_18,COUNTRY,ITA,YEAR,2015,,,,,,,,,0.595,0.59492,,,,2019-04-25T15:32:10Z,2015,2015-01-01,2015-12-31
20739551,MH_18,COUNTRY,JAM,YEAR,2015,,,,,,,,,0.070,0.06964,,,,2019-04-25T15:32:10Z,2015,2015-01-01,2015-12-31
