Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738931,MH_13,COUNTRY,AFG,YEAR,2016,,,,,,,,,0.296,0.29641,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738940,MH_13,COUNTRY,ALB,YEAR,2016,,,,,,,,,4.276,4.27591,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738947,MH_13,COUNTRY,DZA,YEAR,2016,,,,,,,,,1.507,1.50734,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738955,MH_13,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.187,0.18665,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738968,MH_13,COUNTRY,ARG,YEAR,2016,,,,,,,,,2.718,2.71778,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738976,MH_13,COUNTRY,ARM,YEAR,2016,,,,,,,,,1.714,1.71412,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738985,MH_13,COUNTRY,AUS,YEAR,2015,,,,,,,,,21.761,21.76091,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738992,MH_13,COUNTRY,AUT,YEAR,2015,,,,,,,,,19.485,19.48458,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739004,MH_13,COUNTRY,AZE,YEAR,2016,,,,,,,,,0.416,0.41591,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739012,MH_13,COUNTRY,BHS,YEAR,2015,,,,,,,,,3.102,3.10207,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739031,MH_13,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.315,0.31451,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739039,MH_13,COUNTRY,BRB,YEAR,2015,,,,,,,,,4.222,4.22213,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739048,MH_13,COUNTRY,BLR,YEAR,2016,,,,,,,,,3.215,3.21534,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739058,MH_13,COUNTRY,BEL,YEAR,2013,,,,,,,,,22.706,22.70565,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
20739065,MH_13,COUNTRY,BLZ,YEAR,2016,,,,,,,,,4.453,4.45325,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739073,MH_13,COUNTRY,BTN,YEAR,2016,,,,,,,,,1.270,1.27003,,,,2019-04-25T15:32:01Z,2016,2016-01-01,2016-12-31
20739086,MH_13,COUNTRY,BIH,YEAR,2015,,,,,,,,,23.360,23.35999,,,,2019-04-25T15:32:01Z,2015,2015-01-01,2015-12-31
