Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20738941,MH_14,COUNTRY,ALB,YEAR,2016,,,,,,,,,0.445,0.44469,,,,2019-04-25T15:31:58Z,2016,2016-01-01,2016-12-31
20738956,MH_14,COUNTRY,AGO,YEAR,2016,,,,,,,,,0.014,0.01436,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738969,MH_14,COUNTRY,ARG,YEAR,2016,,,,,,,,,0.152,0.15201,,,,2019-04-25T15:31:59Z,2016,2016-01-01,2016-12-31
20738986,MH_14,COUNTRY,AUS,YEAR,2015,,,,,,,,,0.752,0.75211,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20738993,MH_14,COUNTRY,AUT,YEAR,2015,,,,,,,,,4.448,4.44769,,,,2019-04-25T15:31:59Z,2015,2015-01-01,2015-12-31
20739005,MH_14,COUNTRY,AZE,YEAR,2016,,,,,,,,,0.031,0.03119,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739021,MH_14,COUNTRY,BHR,YEAR,2017,,,,,,,,,0.146,0.14579,,,,2019-04-25T15:32:00Z,2017,2017-01-01,2017-12-31
20739032,MH_14,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.045,0.04466,,,,2019-04-25T15:32:00Z,2016,2016-01-01,2016-12-31
20739040,MH_14,COUNTRY,BRB,YEAR,2015,,,,,,,,,0.704,0.70369,,,,2019-04-25T15:32:00Z,2015,2015-01-01,2015-12-31
20739059,MH_14,COUNTRY,BEL,YEAR,2013,,,,,,,,,1.134,1.13395,,,,2019-04-25T15:32:01Z,2013,2013-01-01,2013-12-31
